Current (nA),Spike Count,Firing Frequency (Hz),Conductance of nachbac
-0.04,1,1,0
-0.03,1,1,0
-0.02,1,1,0
-0.01,1,1,0
0,0,0,0
0.01,1,1,0
0.02,23,23,0
0.03,35,35,0
0.04,42,42,0
0.05,46,46,0
0.06,49,49,0
0.07,51,51,0
0.08,53,53,0
0.09,55,55,0
0.1,56,56,0
-0.04,0,0,0.00015625
-0.03,0,0,0.00015625
-0.02,0,0,0.00015625
-0.01,0,0,0.00015625
0,0,0,0.00015625
0.01,1,1,0.00015625
0.02,36,36,0.00015625
0.03,44,44,0.00015625
0.04,49,49,0.00015625
0.05,53,53,0.00015625
0.06,55,55,0.00015625
0.07,57,57,0.00015625
0.08,59,59,0.00015625
0.09,60,60,0.00015625
0.1,61,61,0.00015625
-0.04,0,0,0.00028125
-0.03,0,0,0.00028125
-0.02,0,0,0.00028125
-0.01,0,0,0.00028125
0,0,0,0.00028125
0.01,1,1,0.00028125
0.02,36,36,0.00028125
0.03,45,45,0.00028125
0.04,50,50,0.00028125
0.05,53,53,0.00028125
0.06,55,55,0.00028125
0.07,57,57,0.00028125
0.08,59,59,0.00028125
0.09,60,60,0.00028125
0.1,61,61,0.00028125
-0.04,0,0,0.0003125
-0.03,0,0,0.0003125
-0.02,0,0,0.0003125
-0.01,0,0,0.0003125
0,0,0,0.0003125
0.01,1,1,0.0003125
0.02,36,36,0.0003125
0.03,45,45,0.0003125
0.04,50,50,0.0003125
0.05,53,53,0.0003125
0.06,55,55,0.0003125
0.07,57,57,0.0003125
0.08,59,59,0.0003125
0.09,60,60,0.0003125
0.1,61,61,0.0003125
-0.04,0,0,0.000625
-0.03,0,0,0.000625
-0.02,0,0,0.000625
-0.01,0,0,0.000625
0,0,0,0.000625
0.01,1,1,0.000625
0.02,37,37,0.000625
0.03,45,45,0.000625
0.04,50,50,0.000625
0.05,53,53,0.000625
0.06,56,56,0.000625
0.07,58,58,0.000625
0.08,59,59,0.000625
0.09,60,60,0.000625
0.1,61,61,0.000625
-0.04,0,0,0.0015625
-0.03,0,0,0.0015625
-0.02,0,0,0.0015625
-0.01,0,0,0.0015625
0,0,0,0.0015625
0.01,19,19,0.0015625
0.02,40,40,0.0015625
0.03,47,47,0.0015625
0.04,51,51,0.0015625
0.05,54,54,0.0015625
0.06,57,57,0.0015625
0.07,58,58,0.0015625
0.08,60,60,0.0015625
0.09,61,61,0.0015625
0.1,62,62,0.0015625
-0.04,0,0,0.003125
-0.03,0,0,0.003125
-0.02,0,0,0.003125
-0.01,0,0,0.003125
0,0,0,0.003125
0.01,29,29,0.003125
0.02,43,43,0.003125
0.03,49,49,0.003125
0.04,53,53,0.003125
0.05,56,56,0.003125
0.06,58,58,0.003125
0.07,59,59,0.003125
0.08,60,60,0.003125
0.09,61,61,0.003125
0.1,62,62,0.003125
-0.04,0,0,0.0125
-0.03,0,0,0.0125
-0.02,0,0,0.0125
-0.01,0,0,0.0125
0,0,0,0.0125
0.01,25,25,0.0125
0.02,28,28,0.0125
0.03,30,30,0.0125
0.04,31,31,0.0125
0.05,33,33,0.0125
0.06,34,34,0.0125
0.07,34,34,0.0125
0.08,35,35,0.0125
0.09,36,36,0.0125
0.1,36,36,0.0125
-0.04,0,0,0.00625
-0.03,0,0,0.00625
-0.02,0,0,0.00625
-0.01,0,0,0.00625
0,0,0,0.00625
0.01,20,20,0.00625
0.02,25,25,0.00625
0.03,28,28,0.00625
0.04,30,30,0.00625
0.05,32,32,0.00625
0.06,33,33,0.00625
0.07,33,33,0.00625
0.08,35,35,0.00625
0.09,35,35,0.00625
0.1,36,36,0.00625
-0.04,0,0,0.025
-0.03,0,0,0.025
-0.02,0,0,0.025
-0.01,0,0,0.025
0,31,31,0.025
0.01,28,28,0.025
0.02,30,30,0.025
0.03,31,31,0.025
0.04,33,33,0.025
0.05,34,34,0.025
0.06,34,34,0.025
0.07,35,35,0.025
0.08,36,36,0.025
0.09,36,36,0.025
0.1,37,37,0.025
