Current (nA),Spike Count,Firing Frequency (Hz),Sim_type,Para decreased,Flynum
-0.04,0,0,WT,FALSE,8
-0.03,0,0,WT,FALSE,8
-0.02,0,0,WT,FALSE,8
-0.01,0,0,WT,FALSE,8
0,0,0,WT,FALSE,8
0.01,0,0,WT,FALSE,8
0.02,12,12,WT,FALSE,8
0.03,25,25,WT,FALSE,8
0.04,32,32,WT,FALSE,8
0.05,37,37,WT,FALSE,8
0.06,41,41,WT,FALSE,8
0.07,43,43,WT,FALSE,8
0.08,45,45,WT,FALSE,8
0.09,47,47,WT,FALSE,8
0.1,48,48,WT,FALSE,8
-0.04,0,0,WT,FALSE,9
-0.03,0,0,WT,FALSE,9
-0.02,0,0,WT,FALSE,9
-0.01,0,0,WT,FALSE,9
0,0,0,WT,FALSE,9
0.01,0,0,WT,FALSE,9
0.02,23,23,WT,FALSE,9
0.03,35,35,WT,FALSE,9
0.04,42,42,WT,FALSE,9
0.05,46,46,WT,FALSE,9
0.06,49,49,WT,FALSE,9
0.07,51,51,WT,FALSE,9
0.08,53,53,WT,FALSE,9
0.09,55,55,WT,FALSE,9
0.1,56,56,WT,FALSE,9
-0.04,0,0,WT,FALSE,10
-0.03,0,0,WT,FALSE,10
-0.02,0,0,WT,FALSE,10
-0.01,0,0,WT,FALSE,10
0,0,0,WT,FALSE,10
0.01,0,0,WT,FALSE,10
0.02,3,3,WT,FALSE,10
0.03,22,22,WT,FALSE,10
0.04,32,32,WT,FALSE,10
0.05,38,38,WT,FALSE,10
0.06,41,41,WT,FALSE,10
0.07,44,44,WT,FALSE,10
0.08,46,46,WT,FALSE,10
0.09,48,48,WT,FALSE,10
0.1,49,49,WT,FALSE,10
